season_year,season,island,measure,seasonal_total,mean_monthly,sd_monthly,n,se_monthly
1996,Winter,Isthmus,Overnight Stays,0,0,0,6,0
1996,Winter,Isthmus,Rec Visitors Ashore,0,0,0,6,0
1996,Winter,San Miguel,Overnight Stays,71,11.833333333333332,28.985628622934275,6,11.833333333333334
1996,Winter,San Miguel,Rec Visitors Ashore,364,60.66666666666667,76.46611449960477,6,31.21716052287766
1996,Winter,Santa Barbara,Overnight Stays,17,2.833333333333333,4.915960401250875,6,2.006932429798716
1996,Winter,Santa Barbara,Rec Visitors Ashore,211,35.166666666666664,23.953427033864415,6,9.778945637326029
1996,Winter,Santa Cruz,Overnight Stays,82,13.666666666666666,33.47635981803676,6,13.666666666666666
1996,Winter,Santa Cruz,Rec Visitors Ashore,920,153.33333333333331,203.22368628353013,6,82.96572250701558
1996,Winter,Santa Rosa,Overnight Stays,213,35.5,45.16082373030855,6,18.436829083838326
1996,Winter,Santa Rosa,Rec Visitors Ashore,367,61.16666666666667,75.91420596085206,6,30.991844805439456
1997,Summer,Anacapa,Overnight Stays,704,117.33333333333333,48.96801677285559,6,19.991109134924066
1997,Summer,Anacapa,Rec Visitors Ashore,11266,1877.6666666666667,603.273625038147,6,246.28542610376104
1997,Summer,Isthmus,Overnight Stays,0,0,0,6,0
1997,Summer,Isthmus,Rec Visitors Ashore,0,0,0,6,0
1997,Summer,San Miguel,Overnight Stays,215,35.833333333333336,17.174593639054947,6,7.011498492555719
1997,Summer,San Miguel,Rec Visitors Ashore,744,124,42.89988344972513,6,17.513804079449258
1997,Summer,Santa Barbara,Overnight Stays,360,60,56.11773338259484,6,22.9099687181512
1997,Summer,Santa Barbara,Rec Visitors Ashore,652,108.66666666666667,70.86795232449339,6,28.931720385148974
1997,Summer,Santa Cruz,Overnight Stays,4639,773.1666666666666,332.9585059232857,6,135.9297408385834
1997,Summer,Santa Cruz,Rec Visitors Ashore,11297,1882.8333333333333,600.5309040063356,6,245.16571493130476
1997,Summer,Santa Rosa,Overnight Stays,841,140.16666666666666,95.96544516994992,6,39.17772893423564
1997,Summer,Santa Rosa,Rec Visitors Ashore,1630,271.6666666666667,127.89318459818985,6,52.212173974190264
1997,Winter,Anacapa,Overnight Stays,341,56.83333333333333,55.87635158693405,6,22.811425012723586
1997,Winter,Anacapa,Rec Visitors Ashore,5499,916.5,653.4942233868636,6,266.7878995256969
1997,Winter,Isthmus,Overnight Stays,0,0,0,6,0
1997,Winter,Isthmus,Rec Visitors Ashore,0,0,0,6,0
1997,Winter,San Miguel,Overnight Stays,68,11.333333333333332,27.760883751542686,6,11.333333333333334
1997,Winter,San Miguel,Rec Visitors Ashore,143,23.833333333333336,37.40810963770646,6,15.271796809078422
1997,Winter,Santa Barbara,Overnight Stays,30,5,12.24744871391589,6,5
1997,Winter,Santa Barbara,Rec Visitors Ashore,184,30.666666666666664,40.81992977292669,6,16.664666546652267
1997,Winter,Santa Cruz,Overnight Stays,1592,265.3333333333333,156.6839706755821,6,63.96596317139644
1997,Winter,Santa Cruz,Rec Visitors Ashore,4429,738.1666666666666,274.82752166889446,6,112.19786589374644
1997,Winter,Santa Rosa,Overnight Stays,366,61,84.77499631377167,6,34.60924731917758
1997,Winter,Santa Rosa,Rec Visitors Ashore,631,105.16666666666666,111.51935556963494,6,45.527586264935145
1998,Summer,Anacapa,Overnight Stays,756,126,37.97367509209505,6,15.502687938977981
1998,Summer,Anacapa,Rec Visitors Ashore,11740,1956.6666666666667,457.42132292522905,6,186.7414731059434
1998,Summer,Isthmus,Overnight Stays,0,0,0,6,0
1998,Summer,Isthmus,Rec Visitors Ashore,0,0,0,6,0
1998,Summer,San Miguel,Overnight Stays,308,51.333333333333336,39.3734258944617,6,16.074133811119587
1998,Summer,San Miguel,Rec Visitors Ashore,855,142.5,85.50263153845032,6,34.90630315573392
1998,Summer,Santa Barbara,Overnight Stays,517,86.16666666666667,97.89058517889588,6,39.96366405179141
1998,Summer,Santa Barbara,Rec Visitors Ashore,1033,172.16666666666666,141.47567517657114,6,57.75720253305596
1998,Summer,Santa Cruz,Overnight Stays,4388,731.3333333333334,479.5934389320465,6,195.7932015616931
1998,Summer,Santa Cruz,Rec Visitors Ashore,12822,2137,883.2478700795151,6,360.58443301581025
1998,Summer,Santa Rosa,Overnight Stays,1697,282.8333333333333,216.3454798849901,6,88.32267231263128
1998,Summer,Santa Rosa,Rec Visitors Ashore,3118,519.6666666666666,217.09690616558004,6,88.62944080709174
1998,Winter,Anacapa,Overnight Stays,191,31.833333333333336,33.331166596245424,6,13.607391782083411
1998,Winter,Anacapa,Rec Visitors Ashore,4263,710.5,594.9523510332571,6,242.88828021678333
1998,Winter,Isthmus,Overnight Stays,0,0,0,6,0
1998,Winter,Isthmus,Rec Visitors Ashore,0,0,0,6,0
1998,Winter,San Miguel,Overnight Stays,20,3.333333333333333,5.316640543300504,6,2.1705094128132947
1998,Winter,San Miguel,Rec Visitors Ashore,55,9.166666666666668,22.453655975512465,6,9.166666666666668
1998,Winter,Santa Barbara,Overnight Stays,0,0,0,6,0
1998,Winter,Santa Barbara,Rec Visitors Ashore,4,0.6666666666666666,1.632993161855452,6,0.6666666666666667
1998,Winter,Santa Cruz,Overnight Stays,1036,172.66666666666669,270.7557324724016,6,110.535564915149
1998,Winter,Santa Cruz,Rec Visitors Ashore,3394,565.6666666666666,450.82797901934464,6,184.04975172792578
1998,Winter,Santa Rosa,Overnight Stays,306,51,82.3407554009556,6,33.61547262794322
1998,Winter,Santa Rosa,Rec Visitors Ashore,393,65.5,133.04397769158888,6,54.31497644910349
1999,Summer,Anacapa,Overnight Stays,652,108.66666666666667,51.65139559263299,6,21.086593950765128
1999,Summer,Anacapa,Rec Visitors Ashore,11986,1997.6666666666667,505.91488085118294,6,206.5388852277244
1999,Summer,Isthmus,Overnight Stays,0,0,0,6,0
1999,Summer,Isthmus,Rec Visitors Ashore,0,0,0,6,0
1999,Summer,San Miguel,Overnight Stays,236,39.333333333333336,28.422995385192365,6,11.603639275867051
1999,Summer,San Miguel,Rec Visitors Ashore,781,130.16666666666666,71.04200635304909,6,29.002777644755188
1999,Summer,Santa Barbara,Overnight Stays,201,33.5,60.609405210742665,6,24.743686063317245
1999,Summer,Santa Barbara,Rec Visitors Ashore,808,134.66666666666666,111.37803493807326,6,45.46989235869282
1999,Summer,Santa Cruz,Overnight Stays,4953,825.5,358.5329831410215,6,146.37047744223105
1999,Summer,Santa Cruz,Rec Visitors Ashore,13746,2291,820.3218880415175,6,334.89500842303795
1999,Summer,Santa Rosa,Overnight Stays,1266,211,126.28697478362525,6,51.55644156326799
1999,Summer,Santa Rosa,Rec Visitors Ashore,2428,404.6666666666667,187.84000283929583,6,76.6853600398697
1999,Winter,Anacapa,Overnight Stays,95,15.833333333333332,17.73602736428501,6,7.240702851089651
1999,Winter,Anacapa,Rec Visitors Ashore,5230,871.6666666666666,475.60726094821837,6,194.16585121431055
1999,Winter,Isthmus,Overnight Stays,0,0,0,6,0
1999,Winter,Isthmus,Rec Visitors Ashore,0,0,0,6,0
1999,Winter,San Miguel,Overnight Stays,111,18.5,45.3155602414888,6,18.500000000000004
1999,Winter,San Miguel,Rec Visitors Ashore,271,45.16666666666667,84.52790466270099,6,34.50837257504008
1999,Winter,Santa Barbara,Overnight Stays,200,33.33333333333333,56.9584643987763,6,23.25319571824723
1999,Winter,Santa Barbara,Rec Visitors Ashore,109,18.166666666666664,37.928441395167646,6,15.484221359536008
1999,Winter,Santa Cruz,Overnight Stays,1403,233.83333333333331,210.5359035097498,6,85.95092268912018
1999,Winter,Santa Cruz,Rec Visitors Ashore,4038,673,468.38018745459334,6,191.21541081548145
1999,Winter,Santa Rosa,Overnight Stays,240,40,56.80845007567096,6,23.19195262729438
1999,Winter,Santa Rosa,Rec Visitors Ashore,504,84,101.75460677532,6,41.541144262847006
2000,Summer,Anacapa,Overnight Stays,817,136.16666666666666,60.595104312697295,6,24.737847746138126
2000,Summer,Anacapa,Rec Visitors Ashore,12767,2127.8333333333335,620.3751821814495,6,253.26710757178438
2000,Summer,Isthmus,Overnight Stays,0,0,0,6,0
2000,Summer,Isthmus,Rec Visitors Ashore,115,19.166666666666664,46.94855340334425,6,19.166666666666668
2000,Summer,San Miguel,Overnight Stays,334,55.66666666666667,54.97150777145072,6,22.442024071915718
2000,Summer,San Miguel,Rec Visitors Ashore,923,153.83333333333334,95.96961324641602,6,39.179430544327445
2000,Summer,Santa Barbara,Overnight Stays,393,65.5,48.898875242688355,6,19.962882223433237
2000,Summer,Santa Barbara,Rec Visitors Ashore,1069,178.16666666666666,108.00262342492736,6,44.091886378838964
2000,Summer,Santa Cruz,Overnight Stays,5348,891.3333333333334,406.625462393425,6,166.0041498811936
2000,Summer,Santa Cruz,Rec Visitors Ashore,13626,2271,702.1219267335268,6,286.64007628615605
2000,Summer,Santa Rosa,Overnight Stays,1453,242.16666666666666,62.10770215252426,6,25.355363228406816
2000,Summer,Santa Rosa,Rec Visitors Ashore,2318,386.3333333333333,88.77762480865698,6,36.24331355957645
2000,Winter,Anacapa,Overnight Stays,158,26.333333333333336,37.98245208865097,6,15.506271132817345
2000,Winter,Anacapa,Rec Visitors Ashore,4579,763.1666666666666,596.0746317925857,6,243.34644941819974
2000,Winter,Isthmus,Overnight Stays,0,0,0,6,0
2000,Winter,Isthmus,Rec Visitors Ashore,0,0,0,6,0
2000,Winter,San Miguel,Overnight Stays,45,7.5,18.371173070873837,6,7.500000000000001
2000,Winter,San Miguel,Rec Visitors Ashore,356,59.33333333333333,70.27280175620344,6,28.688751183076004
2000,Winter,Santa Barbara,Overnight Stays,28,4.666666666666666,11.430952132988168,6,4.666666666666669
2000,Winter,Santa Barbara,Rec Visitors Ashore,288,48,69.33685888472307,6,28.306654105822307
2000,Winter,Santa Cruz,Overnight Stays,1581,263.5,186.58590514827213,6,76.1733768014346
2000,Winter,Santa Cruz,Rec Visitors Ashore,4908,818,628.8265261580494,6,256.71735430235333
2000,Winter,Santa Rosa,Overnight Stays,368,61.33333333333333,81.67659803558585,6,33.34433151893204
2000,Winter,Santa Rosa,Rec Visitors Ashore,537,89.5,101.43914431815757,6,41.41235725400492
2001,Summer,Anacapa,Overnight Stays,690,115,47.66550115125194,6,19.4593593591019
2001,Summer,Anacapa,Rec Visitors Ashore,13771,2295.1666666666665,532.247467506109,6,217.28911871308952
2001,Summer,Isthmus,Overnight Stays,0,0,0,6,0
2001,Summer,Isthmus,Rec Visitors Ashore,531,88.5,97.44896100010507,6,39.783371735772555
2001,Summer,San Miguel,Overnight Stays,282,47,38.564232132897445,6,15.743781841306957
2001,Summer,San Miguel,Rec Visitors Ashore,1014,169,96.03541013605346,6,39.20629201203977
2001,Summer,Santa Barbara,Overnight Stays,320,53.33333333333333,55.61894161764197,6,22.70633783281174
2001,Summer,Santa Barbara,Rec Visitors Ashore,1125,187.5,142.48192867869244,6,58.16800380507025
2001,Summer,Santa Cruz,Overnight Stays,6234,1039,604.0026490008136,6,246.58304889022685
2001,Summer,Santa Cruz,Rec Visitors Ashore,17526,2921,1054.8798983770616,6,430.652915157129
2001,Summer,Santa Rosa,Overnight Stays,933,155.5,78.25790694875502,6,31.948656727109306
2001,Summer,Santa Rosa,Rec Visitors Ashore,1714,285.6666666666667,180.34485483835314,6,73.62547868171121
2001,Winter,Anacapa,Overnight Stays,176,29.333333333333332,22.51814083503935,6,9.19299250032932
2001,Winter,Anacapa,Rec Visitors Ashore,3587,597.8333333333334,376.1422160123305,6,153.55941665832302
2001,Winter,Isthmus,Overnight Stays,0,0,0,6,0
2001,Winter,Isthmus,Rec Visitors Ashore,351,58.5,88.04033166679916,6,35.94231489484226
2001,Winter,San Miguel,Overnight Stays,0,0,0,6,0
2001,Winter,San Miguel,Rec Visitors Ashore,93,15.5,31.28418130621289,6,12.771713536822954
2001,Winter,Santa Barbara,Overnight Stays,0,0,0,6,0
2001,Winter,Santa Barbara,Rec Visitors Ashore,55,9.166666666666668,11.513759884011247,6,4.700472789458997
2001,Winter,Santa Cruz,Overnight Stays,1336,222.66666666666669,163.69931785644883,6,66.82996666499577
2001,Winter,Santa Cruz,Rec Visitors Ashore,3761,626.8333333333334,381.9201050830745,6,155.9182299939441
2001,Winter,Santa Rosa,Overnight Stays,231,38.5,55.486034278906615,6,22.65207863898293
2001,Winter,Santa Rosa,Rec Visitors Ashore,289,48.16666666666667,59.83115130654488,6,24.425965237381675
2002,Summer,Anacapa,Overnight Stays,626,104.33333333333333,48.910803169306746,6,19.967751779083972
2002,Summer,Anacapa,Rec Visitors Ashore,13985,2330.8333333333335,197.33364301777502,6,80.56112241301288
2002,Summer,Isthmus,Overnight Stays,306,51,29.919893047937187,6,12.214745187681977
2002,Summer,Isthmus,Rec Visitors Ashore,1484,247.33333333333334,129.99794870176478,6,53.071440321304436
2002,Summer,San Miguel,Overnight Stays,295,49.166666666666664,36.00231474039783,6,14.697883445509351
2002,Summer,San Miguel,Rec Visitors Ashore,1020,170,138.0086953782261,6,56.341813957308844
2002,Summer,Santa Barbara,Overnight Stays,369,61.5,67.24804829881683,6,27.453900755023263
2002,Summer,Santa Barbara,Rec Visitors Ashore,1213,202.16666666666669,174.95189815108228,6,71.42381333358722
2002,Summer,Santa Cruz,Overnight Stays,8967,1494.5,495.4487864552703,6,202.26612008275964
2002,Summer,Santa Cruz,Rec Visitors Ashore,21949,3658.1666666666665,940.2987645778691,6,383.8753631641975
2002,Summer,Santa Rosa,Overnight Stays,1081,180.16666666666666,99.70239047619002,6,40.703330467065115
2002,Summer,Santa Rosa,Rec Visitors Ashore,2257,376.1666666666667,147.99380617670005,6,60.418218370878094
2002,Winter,Anacapa,Overnight Stays,218,36.33333333333333,39.661904476041826,6,16.191904698885114
2002,Winter,Anacapa,Rec Visitors Ashore,6987,1164.5,989.1565599034361,6,403.82147458169356
2002,Winter,Isthmus,Overnight Stays,0,0,0,6,0
2002,Winter,Isthmus,Rec Visitors Ashore,65,10.833333333333332,26.536138880151096,6,10.833333333333334
2002,Winter,San Miguel,Overnight Stays,50,8.333333333333332,11.893976066339913,6,4.855695395901372
2002,Winter,San Miguel,Rec Visitors Ashore,315,52.5,63.320612757616296,6,25.85053190942113
2002,Winter,Santa Barbara,Overnight Stays,0,0,0,6,0
2002,Winter,Santa Barbara,Rec Visitors Ashore,106,17.666666666666668,19.418204517067654,6,7.927448797970533
2002,Winter,Santa Cruz,Overnight Stays,1625,270.8333333333333,218.6681656452687,6,89.27090480354977
2002,Winter,Santa Cruz,Rec Visitors Ashore,5546,924.3333333333333,587.1462055286287,6,239.70143465940663
2002,Winter,Santa Rosa,Overnight Stays,130,21.666666666666664,34.045068169511225,6,13.898840878928636
2002,Winter,Santa Rosa,Rec Visitors Ashore,310,51.66666666666667,66.38272867747052,6,27.1006354989038
2003,Summer,Anacapa,Overnight Stays,654,109,75.05731143599536,6,30.642019080558864
2003,Summer,Anacapa,Rec Visitors Ashore,11313,1885.5,335.7443968259187,6,137.06707603700218
2003,Summer,Isthmus,Overnight Stays,147,24.5,27.038860922753386,6,11.03856874780422
2003,Summer,Isthmus,Rec Visitors Ashore,5373,895.5,640.0749174901325,6,261.3094908341448
2003,Summer,San Miguel,Overnight Stays,408,68,62.35703649148186,6,25.457153546040193
2003,Summer,San Miguel,Rec Visitors Ashore,847,141.16666666666666,77.31860491929912,6,31.565188279354697
2003,Summer,Santa Barbara,Overnight Stays,343,57.16666666666667,62.878984300532935,6,25.670237846796653
2003,Summer,Santa Barbara,Rec Visitors Ashore,1333,222.16666666666666,137.83093508594746,6,56.269243621873734
2003,Summer,Santa Cruz,Overnight Stays,9545,1590.8333333333333,956.7176002701459,6,390.57832476697655
2003,Summer,Santa Cruz,Rec Visitors Ashore,27651,4608.5,2127.292998155167,6,868.4637298125926
2003,Summer,Santa Rosa,Overnight Stays,1190,198.33333333333331,184.79249624015222,6,75.44122068059198
2003,Summer,Santa Rosa,Rec Visitors Ashore,2336,389.3333333333333,269.08486889207774,6,109.85343771488346
2003,Winter,Anacapa,Overnight Stays,130,21.666666666666668,16.02081978759722,6,6.5404722901161945
2003,Winter,Anacapa,Rec Visitors Ashore,4674,779,389.84509744256115,6,159.1535945766437
2003,Winter,Isthmus,Overnight Stays,167,27.833333333333332,17.92670261555835,6,7.318545696455759
2003,Winter,Isthmus,Rec Visitors Ashore,835,139.16666666666666,34.46399086969858,6,14.06986535511663
2003,Winter,San Miguel,Overnight Stays,55,9.166666666666668,21.96740008891964,6,8.968153532237157
2003,Winter,San Miguel,Rec Visitors Ashore,188,31.333333333333336,49.91058671931904,6,20.375911704210385
2003,Winter,Santa Barbara,Overnight Stays,0,0,0,6,0
2003,Winter,Santa Barbara,Rec Visitors Ashore,93,15.5,21.529050141610984,6,8.789197915623474
2003,Winter,Santa Cruz,Overnight Stays,1708,284.6666666666667,225.13166517988236,6,91.90961743896978
2003,Winter,Santa Cruz,Rec Visitors Ashore,7083,1180.5,720.5175223407131,6,294.15004674485436
2003,Winter,Santa Rosa,Overnight Stays,142,23.666666666666664,56.02023443959037,6,22.870164941347593
2003,Winter,Santa Rosa,Rec Visitors Ashore,523,87.16666666666666,69.96403838163336,6,28.56269906324992
2004,Summer,Anacapa,Overnight Stays,674,112.33333333333333,70.39791663583992,6,28.739829118799193
2004,Summer,Anacapa,Rec Visitors Ashore,10167,1694.5,465.44677461553005,6,190.0178500387091
2004,Summer,Isthmus,Overnight Stays,393,65.5,92.51540412277298,6,37.7692555746955
2004,Summer,Isthmus,Rec Visitors Ashore,8741,1456.8333333333333,1619.5312181821832,6,661.1708511757339
2004,Summer,San Miguel,Overnight Stays,312,52,46.505913602465654,6,18.985959724666717
2004,Summer,San Miguel,Rec Visitors Ashore,892,148.66666666666666,139.9580889647564,6,57.13765055645106
2004,Summer,Santa Barbara,Overnight Stays,159,26.5,32.3403772396056,6,13.202903721025413
2004,Summer,Santa Barbara,Rec Visitors Ashore,1340,223.33333333333334,102.49032474661531,6,41.84149986689186
2004,Summer,Santa Cruz,Overnight Stays,10964,1827.3333333333333,1101.2770163163611,6,449.59445923829827
2004,Summer,Santa Cruz,Rec Visitors Ashore,36941,6156.833333333333,2480.66147764395,6,1012.725807467703
2004,Summer,Santa Rosa,Overnight Stays,1595,265.8333333333333,231.4393369042235,6,94.4847136372393
2004,Summer,Santa Rosa,Rec Visitors Ashore,3206,534.3333333333334,337.62681568066637,6,137.83557031638983
2004,Winter,Anacapa,Overnight Stays,78,13,18.33030277982336,6,7.4833147735478835
2004,Winter,Anacapa,Rec Visitors Ashore,8065,1344.1666666666667,1230.7439078324405,6,502.4490963714081
2004,Winter,Isthmus,Overnight Stays,100,16.666666666666664,40.824829046386306,6,16.66666666666667
2004,Winter,Isthmus,Rec Visitors Ashore,1490,248.33333333333331,168.64953799719308,6,68.85088557487438
2004,Winter,San Miguel,Overnight Stays,7,1.1666666666666665,2.857738033247042,6,1.1666666666666672
2004,Winter,San Miguel,Rec Visitors Ashore,188,31.333333333333336,46.465758001636715,6,18.969566269275756
2004,Winter,Santa Barbara,Overnight Stays,22,3.6666666666666665,8.981462390204987,6,3.6666666666666674
2004,Winter,Santa Barbara,Rec Visitors Ashore,385,64.16666666666667,57.14688676268084,6,23.33011882619642
2004,Winter,Santa Cruz,Overnight Stays,3011,501.83333333333337,466.65936899055896,6,190.51288961934077
2004,Winter,Santa Cruz,Rec Visitors Ashore,9390,1565,1164.1805701866012,6,475.2747275699253
2004,Winter,Santa Rosa,Overnight Stays,219,36.5,82.6407889604159,6,33.737960815674676
2004,Winter,Santa Rosa,Rec Visitors Ashore,696,116,146.81689276101713,6,59.937745480901555
2005,Summer,Anacapa,Overnight Stays,678,113,49.31125632145261,6,20.131236093858387
2005,Summer,Anacapa,Rec Visitors Ashore,9370,1561.6666666666667,452.5959198519875,6,184.77151055049347
2005,Summer,Isthmus,Overnight Stays,290,48.333333333333336,13.764689123502452,6,5.619410803436406
2005,Summer,Isthmus,Rec Visitors Ashore,4889,814.8333333333334,189.85722705935288,6,77.5088883791903
2005,Summer,San Miguel,Overnight Stays,358,59.66666666666667,61.12500852079013,6,24.954180233201633
2005,Summer,San Miguel,Rec Visitors Ashore,1318,219.66666666666666,125.03866068807146,6,51.04681946779621
2005,Summer,Santa Barbara,Overnight Stays,348,58,36.30426972134269,6,14.82115605027714
2005,Summer,Santa Barbara,Rec Visitors Ashore,1530,255,134.81691288558716,6,55.03877421115651
2005,Summer,Santa Cruz,Overnight Stays,13920,2320,922.935534043413,6,376.78685398157586
2005,Summer,Santa Cruz,Rec Visitors Ashore,31985,5330.833333333333,1684.3552376700904,6,687.6351463126682
2005,Summer,Santa Rosa,Overnight Stays,1280,213.33333333333334,167.33399734264003,6,68.3138183516174
2005,Summer,Santa Rosa,Rec Visitors Ashore,2437,406.1666666666667,294.83515168084466,6,120.3659466423586
2005,Winter,Anacapa,Overnight Stays,156,26,32.46536616149585,6,13.253930234714028
2005,Winter,Anacapa,Rec Visitors Ashore,3189,531.5,462.78234624929246,6,188.9301017131292
2005,Winter,Isthmus,Overnight Stays,87,14.5,21.454603235669495,6,8.758805093542536
2005,Winter,Isthmus,Rec Visitors Ashore,1412,235.33333333333334,143.24338262784312,6,58.47886607807797
2005,Winter,San Miguel,Overnight Stays,114,19,46.54030511288038,6,19
2005,Winter,San Miguel,Rec Visitors Ashore,341,56.83333333333333,118.39664972737475,6,48.33522984784954
2005,Winter,Santa Barbara,Overnight Stays,0,0,0,6,0
2005,Winter,Santa Barbara,Rec Visitors Ashore,129,21.5,27.120103244641236,6,11.071735786828249
2005,Winter,Santa Cruz,Overnight Stays,2671,445.16666666666663,587.3310537224017,6,239.77689861850982
2005,Winter,Santa Cruz,Rec Visitors Ashore,7564,1260.6666666666667,1216.5236810957142,6,496.64371311613104
2005,Winter,Santa Rosa,Overnight Stays,179,29.833333333333332,66.45424491081563,6,27.129831878907353
2005,Winter,Santa Rosa,Rec Visitors Ashore,476,79.33333333333334,154.56476528195765,6,63.100801192307465
2006,Summer,Anacapa,Overnight Stays,682,113.66666666666667,69.7930273499199,6,28.492884101902437
2006,Summer,Anacapa,Rec Visitors Ashore,9017,1502.8333333333333,298.9564628280624,6,122.0484648726799
2006,Summer,Isthmus,Overnight Stays,0,0,0,6,0
2006,Summer,Isthmus,Rec Visitors Ashore,4433,738.8333333333334,70.15245303385097,6,28.639619022916104
2006,Summer,San Miguel,Overnight Stays,315,52.5,68.92822353724199,6,28.13982942379005
2006,Summer,San Miguel,Rec Visitors Ashore,1377,229.5,203.86735883902554,6,83.2285007274151
2006,Summer,Santa Barbara,Overnight Stays,292,48.666666666666664,58.22256149180202,6,23.769261195455318
2006,Summer,Santa Barbara,Rec Visitors Ashore,1133,188.83333333333331,263.1398234145996,6,107.4263830619731
2006,Summer,Santa Cruz,Overnight Stays,12205,2034.1666666666667,586.4467296069325,6,239.41587481015355
2006,Summer,Santa Cruz,Rec Visitors Ashore,27579,4596.5,1215.6138778411507,6,496.27228749279703
2006,Summer,Santa Rosa,Overnight Stays,1795,299.1666666666667,168.97031297439992,6,68.98184141094266
2006,Summer,Santa Rosa,Rec Visitors Ashore,3086,514.3333333333334,272.040193108788,6,111.05994377412188
2006,Winter,Anacapa,Overnight Stays,202,33.666666666666664,35.6464116941196,6,14.552586635295382
2006,Winter,Anacapa,Rec Visitors Ashore,3055,509.16666666666663,354.94586441690893,6,144.9060423554212
2006,Winter,Isthmus,Overnight Stays,0,0,0,6,0
2006,Winter,Isthmus,Rec Visitors Ashore,2471,411.8333333333333,93.52094239616423,6,38.17976485580346
2006,Winter,San Miguel,Overnight Stays,41,6.833333333333333,16.738179909018378,6,6.833333333333331
2006,Winter,San Miguel,Rec Visitors Ashore,206,34.33333333333333,66.62632112511291,6,27.20008169922371
2006,Winter,Santa Barbara,Overnight Stays,0,0,0,6,0
2006,Winter,Santa Barbara,Rec Visitors Ashore,0,0,0,6,0
2006,Winter,Santa Cruz,Overnight Stays,1841,306.83333333333337,637.8515239980748,6,260.40179424198374
2006,Winter,Santa Cruz,Rec Visitors Ashore,6515,1085.8333333333335,1540.958067783373,6,629.0934968490596
2006,Winter,Santa Rosa,Overnight Stays,204,34,49.18536367660607,6,20.079840636817817
2006,Winter,Santa Rosa,Rec Visitors Ashore,528,88,101.21067137411944,6,41.3190835651841
2007,Summer,Anacapa,Overnight Stays,394,65.66666666666667,39.93327768499183,6,16.302692347516643
2007,Summer,Anacapa,Rec Visitors Ashore,7619,1269.8333333333333,250.55491746654397,6,102.28861672303087
2007,Summer,Isthmus,Overnight Stays,200,33.33333333333333,51.63977794943223,6,21.0818510677892
2007,Summer,Isthmus,Rec Visitors Ashore,4594,765.6666666666666,54.035790608324284,6,22.060019139711656
2007,Summer,San Miguel,Overnight Stays,331,55.166666666666664,45.06624753256773,6,18.398218512792063
2007,Summer,San Miguel,Rec Visitors Ashore,934,155.66666666666666,139.63189702452183,6,57.004483254487205
2007,Summer,Santa Barbara,Overnight Stays,480,80,101.34100848126586,6,41.37229346636063
2007,Summer,Santa Barbara,Rec Visitors Ashore,479,79.83333333333333,64.44041175121919,6,26.307687934222663
